INEX_LD-2009022	Szechwan dish food cuisine
QALD2_te-60	a list of all lakes in Denmark
QALD2_te-64	all launch pads operated by NASA
QALD2_te-66	ships were called after Benjamin Franklin
QALD2_te-72	In US state is Area 51 located?
QALD2_te-76	List the children of Margaret Thatcher
QALD2_te-8	To countries does the Himalayan mountain system extend
QALD2_te-81	books by Kerouac were published by Viking Press
QALD2_te-84	created the comic Captain America
QALD2_te-87	composed the music for Harold and Maude
QALD2_te-89	In city was the former Dutch queen Juliana buried
QALD2_te-90	is the residence of the prime minister of Spain
QALD2_te-92	all songs from Bruce Springsteen released between 1980 and 1990
QALD2_te-95	wrote the lyrics for the Polish national anthem
QALD2_te-98	country does the creator of Miffy come from
QALD2_tr-1	all female Russian astronauts
QALD2_tr-11	countries have places with more than two caves
QALD2_tr-15	created Goofy
QALD2_tr-17	all cities in New Jersey with more than 100000 inhabitants
QALD2_tr-21	states border Illinois
QALD2_tr-23	television shows were created by Walt Disney
QALD2_tr-25	In films directed by Garry Marshall was Julia Roberts starring
QALD2_tr-28	European countries have a constitutional monarchy
QALD2_tr-3	is the daughter of Bill Clinton married to
QALD2_tr-31	is the currency of the Czech Republic
QALD2_tr-34	countries have more than two official languages
QALD2_tr-36	Through countries does the Yenisei river flow
QALD2_tr-4	river does the Brooklyn Bridge cross
QALD2_tr-41	all soccer clubs in Spain
QALD2_tr-43	is the mayor of New York City
QALD2_tr-45	telecommunications organizations are located in Belgium
QALD2_tr-49	all companies in the advertising industry
QALD2_tr-51	all school types
QALD2_tr-53	all presidents of the United States
QALD2_tr-55	developed the video game World of Warcraft
QALD2_tr-58	produced the most films
QALD2_tr-6	did Abraham Lincoln die
QALD2_tr-62	created Wikipedia
QALD2_tr-64	software has been developed by organizations founded in California
QALD2_tr-68	actors were born in Germany
QALD2_tr-70	all films produced by Hal Roach
QALD2_tr-72	languages are spoken in Estonia
QALD2_tr-74	capitals in Europe were host cities of the summer olympic games
QALD2_tr-77	music albums contain the song Last Christmas
QALD2_tr-79	airports are located in California USA
QALD2_tr-80	all Canadian Grunge record labels
QALD2_tr-82	In programming language is GIMP written
QALD2_tr-84	all movies with Tom Cruise
QALD2_tr-86	all female German chancellors
QALD2_tr-89	all soccer clubs in the Premier League
QALD2_tr-91	organizations were founded in 1950
SemSearch_ES-1	44 magnum hunting
SemSearch_ES-100	YMCA Tampa
SemSearch_ES-102	beach flowers
SemSearch_ES-106	chase masterson
SemSearch_ES-108	danielia cotton
SemSearch_ES-11	austin powers
SemSearch_ES-114	glenn frey
SemSearch_ES-118	iowa energy
SemSearch_ES-12	austin texas
SemSearch_ES-123	michael zimmerman
SemSearch_ES-125	nokia e73
SemSearch_ES-128	philadelphia neufchatel cheese
SemSearch_ES-13	banana paper making
SemSearch_ES-131	scpa san diego
SemSearch_ES-135	spring shoes canada
SemSearch_ES-137	steak express
SemSearch_ES-14	ben franklin
SemSearch_ES-15	bradley center
SemSearch_ES-17	butte montana
SemSearch_ES-19	carl lewis
SemSearch_ES-20	carolina
SemSearch_ES-22	city of charlotte
SemSearch_ES-24	coastal carolina
SemSearch_ES-26	disney orlando
SemSearch_ES-29	ellis college
SemSearch_ES-30	eloan line of credit
SemSearch_ES-32	fitzgerald auto mall chambersburg pa
SemSearch_ES-34	harry potter movie
SemSearch_ES-37	jack johnson
SemSearch_ES-39	james caldwell high school
SemSearch_ES-40	james clayton md
SemSearch_ES-42	john maxwell
SemSearch_ES-47	king arthur
SemSearch_ES-5	Scott County
SemSearch_ES-52	lincoln park
SemSearch_ES-54	marc anthony
SemSearch_ES-57	martin luther king
SemSearch_ES-59	mercy hospital in des moines ia
SemSearch_ES-60	michael douglas
SemSearch_ES-63	old winchester shotguns
SemSearch_ES-66	overeaters anonymous
SemSearch_ES-68	pierce county washington
SemSearch_ES-70	radio italia online
SemSearch_ES-72	rock 103 memphis
SemSearch_ES-74	sacred heart u
SemSearch_ES-76	san antonio
SemSearch_ES-78	sharp pc
SemSearch_ES-80	sonny and cher
SemSearch_ES-82	st lucia
SemSearch_ES-84	the dish danielle fishel
SemSearch_ES-86	the morning call lehigh valley pa
SemSearch_ES-89	university of north dakota
SemSearch_ES-90	university of phoenix
SemSearch_ES-93	08 toyota tundra
SemSearch_ES-95	MADRID
SemSearch_ES-97	PINK PANTHER 2
SemSearch_ES-99	University of York
SemSearch_LS-10	did nicole kidman have any siblings
SemSearch_LS-12	first targets of the atomic bomb
SemSearch_LS-14	gods dwelt on Mount Olympus
SemSearch_LS-17	houses of the Russian parliament
SemSearch_LS-19	kenya captain in cricket
SemSearch_LS-20	kublai khan siblings
SemSearch_LS-22	major leagues in the united states
SemSearch_LS-25	members of u2
SemSearch_LS-29	nations Portuguese is an official language
SemSearch_LS-30	orders or choirs of angels
SemSearch_LS-32	presidents depicted on mount rushmore died of shooting
SemSearch_LS-34	ratt albums
SemSearch_LS-36	revolutionaries of 1959 in Cuba
SemSearch_LS-38	states that border oklahoma
SemSearch_LS-4	Axis powers of World War II
SemSearch_LS-41	the four of the companions of the prophet
SemSearch_LS-43	books did paul of tarsus write
SemSearch_LS-46	the British monarch is also head of state
SemSearch_LS-5	books of the Jewish canon
SemSearch_LS-6	boroughs of New York City
SemSearch_LS-8	continents in the world
TREC_Entity-1	Carriers that Blackberry makes phones for
TREC_Entity-11	Donors to the Home Depot Foundation
TREC_Entity-14	Authors awarded an Anthony Award at Bouchercon in 2007
TREC_Entity-16	Sponsors of the Mancuso quilt festivals
TREC_Entity-18	Members of the band Jefferson Airplane
TREC_Entity-2	Winners of the ACM Athena award
TREC_Entity-4	Professional sports teams in Philadelphia
TREC_Entity-6	Organizations that award Nobel prizes
TREC_Entity-9	Members of The Beaux Arts Trio
